p,d,q,P,D,Q,s,order,seasonal_order,aic,bic,hqic,llf,nobs,converged,error,fit_seconds
6,0,3,0,0,0,0,"(6, 0, 3)","(0, 0, 0, 0)",32967.45732069538,33033.33502548178,32991.174439544746,-16472.72866034769,2954,False,,12.32
5,0,3,0,0,0,0,"(5, 0, 3)","(0, 0, 0, 0)",32972.75716503336,33032.64937912152,32994.31903121986,-16476.37858251668,2954,False,,14.77
5,0,4,0,0,0,0,"(5, 0, 4)","(0, 0, 0, 0)",32982.39887519515,33048.28031069211,33006.116928000294,-16480.199437597574,2954,False,,12.15
6,0,6,0,0,0,0,"(6, 0, 6)","(0, 0, 0, 0)",33017.96911144946,33101.80871320779,33048.1533463148,-16494.98455572473,2954,False,,11.46
6,1,6,0,0,0,0,"(6, 1, 6)","(0, 0, 0, 0)",33020.28928177656,33098.13592853786,33048.31639525686,-16497.14464088828,2954,False,,11.88
6,1,2,0,0,0,0,"(6, 1, 2)","(0, 0, 0, 0)",33022.54320956128,33076.44009640592,33041.94736054614,-16502.27160478064,2954,False,,12.91
3,1,6,0,0,0,0,"(3, 1, 6)","(0, 0, 0, 0)",33022.58956672769,33082.471602697915,33044.14888478946,-16501.294783363846,2954,False,,10.69
5,0,6,0,0,0,0,"(5, 0, 6)","(0, 0, 0, 0)",33023.13250896602,33100.983567741605,33051.16072705526,-16498.56625448301,2954,False,,11.33
2,1,6,0,0,0,0,"(2, 1, 6)","(0, 0, 0, 0)",33023.82044153416,33077.71427390736,33043.22382778975,-16502.91022076708,2954,False,,9.17
1,1,6,0,0,0,0,"(1, 1, 6)","(0, 0, 0, 0)",33024.72135597245,33072.626984748626,33041.96881042186,-16504.360677986224,2954,False,,6.73
6,0,5,0,0,0,0,"(6, 0, 5)","(0, 0, 0, 0)",33025.89611966524,33103.75158895826,33053.92544194176,-16499.94805983262,2954,False,,9.93
4,1,6,0,0,0,0,"(4, 1, 6)","(0, 0, 0, 0)",33026.48764308508,33092.35788265233,33050.20289295302,-16502.24382154254,2954,False,,8.58
1,0,6,0,0,0,0,"(1, 0, 6)","(0, 0, 0, 0)",33026.82519432289,33080.72208116753,33046.22934530775,-16504.412597161445,2954,True,,3.67
4,0,6,0,0,0,0,"(4, 0, 6)","(0, 0, 0, 0)",33027.15267765124,33099.015193444095,33053.02487896439,-16501.57633882562,2954,False,,11.87
2,0,6,0,0,0,0,"(2, 0, 6)","(0, 0, 0, 0)",33028.321033051354,33088.206462878734,33049.88120081231,-16504.160516525677,2954,True,,6.92
5,1,6,0,0,0,0,"(5, 1, 6)","(0, 0, 0, 0)",33029.31295382443,33101.171396988706,33055.18413549855,-16502.656476912216,2954,False,,11.2
0,1,6,0,0,0,0,"(0, 1, 6)","(0, 0, 0, 0)",33029.8842337535,33071.80165893266,33044.97575639674,-16507.94211687675,2954,True,,4.73
3,0,6,0,0,0,0,"(3, 0, 6)","(0, 0, 0, 0)",33030.205220855925,33096.07919366604,33053.921405392975,-16504.102610427963,2954,True,,6.6
0,0,6,0,0,0,0,"(0, 0, 6)","(0, 0, 0, 0)",33030.996823119436,33078.905166981334,33048.2449573282,-16507.498411559718,2954,True,,8.32
6,0,0,0,0,0,0,"(6, 0, 0)","(0, 0, 0, 0)",33035.006317915875,33082.91737594235,33052.25513162451,-16509.503158957938,2954,True,,1.14
1,1,5,0,0,0,0,"(1, 1, 5)","(0, 0, 0, 0)",33036.28418335087,33078.20398423004,33051.376300783544,-16511.142091675436,2954,False,,7.14
6,0,2,0,0,0,0,"(6, 0, 2)","(0, 0, 0, 0)",33036.57509122076,33096.463913753854,33058.13610835654,-16508.28754561038,2954,True,,4.52
6,0,1,0,0,0,0,"(6, 0, 1)","(0, 0, 0, 0)",33036.96338169587,33090.86332197565,33056.368297118075,-16509.481690847933,2954,True,,1.94
4,0,5,0,0,0,0,"(4, 0, 5)","(0, 0, 0, 0)",33038.24717761982,33104.12488240622,33061.96429646919,-16508.12358880991,2954,True,,4.85
4,1,4,0,0,0,0,"(4, 1, 4)","(0, 0, 0, 0)",33039.27145251034,33093.17139279012,33058.676367932545,-16510.63572625517,2954,False,,11.76
1,0,5,0,0,0,0,"(1, 0, 5)","(0, 0, 0, 0)",33039.32679671921,33087.23785474568,33056.57561042784,-16511.663398359604,2954,True,,5.41
3,0,5,0,0,0,0,"(3, 0, 5)","(0, 0, 0, 0)",33040.29089364753,33100.179716180624,33061.85191078331,-16510.145446823764,2954,False,,10.14
2,1,5,0,0,0,0,"(2, 1, 5)","(0, 0, 0, 0)",33041.72184476162,33089.630188623516,33058.96997897038,-16512.86092238081,2954,False,,14.01
2,1,4,0,0,0,0,"(2, 1, 4)","(0, 0, 0, 0)",33042.26473056877,33084.186906341936,33057.35744256382,-16514.132365284386,2954,False,,10.09
5,1,2,0,0,0,0,"(5, 1, 2)","(0, 0, 0, 0)",33043.50794744252,33091.419005469,33060.756761151155,-16513.75397372126,2954,True,,5.91
5,1,1,0,0,0,0,"(5, 1, 1)","(0, 0, 0, 0)",33044.44230706077,33086.36448283394,33059.535019055824,-16515.221153530387,2954,True,,4.05
0,0,5,0,0,0,0,"(0, 0, 5)","(0, 0, 0, 0)",33045.62690267539,33087.54907844855,33060.71961467044,-16515.813451337694,2954,True,,4.14
3,1,5,0,0,0,0,"(3, 1, 5)","(0, 0, 0, 0)",33046.08917956897,33099.98606641361,33065.49333055383,-16514.044589784484,2954,False,,11.75
5,0,5,0,0,0,0,"(5, 0, 5)","(0, 0, 0, 0)",33047.12071463923,33118.98730167894,33072.993935202176,-16511.560357319617,2954,False,,9.77
4,1,3,0,0,0,0,"(4, 1, 3)","(0, 0, 0, 0)",33048.402043629976,33096.315814900496,33065.65153657917,-16516.201021814988,2954,False,,8.07
5,1,3,0,0,0,0,"(5, 1, 3)","(0, 0, 0, 0)",33048.96351816229,33102.86345844207,33068.368433584496,-16515.481759081144,2954,False,,11.37
5,0,2,0,0,0,0,"(5, 0, 2)","(0, 0, 0, 0)",33049.192951279765,33103.0959439591,33068.59863084761,-16515.596475639883,2954,True,,7.52
4,0,4,0,0,0,0,"(4, 0, 4)","(0, 0, 0, 0)",33049.47271456137,33109.36492864953,33071.034580747866,-16514.736357280686,2954,True,,6.66
6,1,4,0,0,0,0,"(6, 1, 4)","(0, 0, 0, 0)",33050.38865628399,33116.262629094104,33074.10484082104,-16514.194328141995,2954,False,,12.63
