date,foundation_model,lower,upper
2016-05-13 19:00:00,174.80447,103.963715,307.32785
2016-05-13 20:00:00,120.13728,73.70575,229.87297
2016-05-13 21:00:00,87.08914,59.922157,169.25198
2016-05-13 22:00:00,71.17756,54.708324,126.42817
2016-05-13 23:00:00,60.146904,50.844536,100.69114
2016-05-14 00:00:00,55.363693,48.219387,86.98526
2016-05-14 01:00:00,56.072155,48.783543,85.999756
2016-05-14 02:00:00,52.626152,46.077023,82.89251
2016-05-14 03:00:00,50.89327,43.524036,83.83306
2016-05-14 04:00:00,52.17518,43.532192,89.88408
2016-05-14 05:00:00,51.864357,41.81827,95.73855
2016-05-14 06:00:00,57.200882,42.34562,116.81148
2016-05-14 07:00:00,78.51798,48.03321,164.8248
2016-05-14 08:00:00,123.65141,66.35559,244.769
2016-05-14 09:00:00,164.2943,84.61519,319.8374
2016-05-14 10:00:00,194.72086,100.24784,377.08414
2016-05-14 11:00:00,200.48743,96.35294,393.59494
2016-05-14 12:00:00,177.9332,86.85605,367.70883
2016-05-14 13:00:00,156.6449,80.76712,334.15363
2016-05-14 14:00:00,139.1827,72.65173,301.99234
2016-05-14 15:00:00,126.32175,65.09343,286.04102
2016-05-14 16:00:00,153.30733,77.77327,319.37753
2016-05-14 17:00:00,174.90498,89.32654,339.67776
2016-05-14 18:00:00,152.49168,84.62277,300.88614
2016-05-14 19:00:00,123.147385,89.32633,196.18765
2016-05-14 20:00:00,96.86322,71.84195,158.74353
2016-05-14 21:00:00,72.64205,58.261482,118.801025
2016-05-14 22:00:00,62.194393,53.29698,93.88162
2016-05-14 23:00:00,57.86307,52.278038,79.5591
2016-05-15 00:00:00,56.493286,51.193554,72.62991
2016-05-15 01:00:00,55.755215,50.421112,70.90397
2016-05-15 02:00:00,54.161648,48.782677,70.77586
2016-05-15 03:00:00,54.29389,47.805275,75.26863
2016-05-15 04:00:00,54.500443,47.10939,81.207146
2016-05-15 05:00:00,55.11686,46.425743,89.678665
2016-05-15 06:00:00,59.9796,46.34034,107.201935
2016-05-15 07:00:00,71.9902,50.037964,134.91095
2016-05-15 08:00:00,102.01731,65.16101,180.59984
2016-05-15 09:00:00,112.65631,68.86709,201.94116
2016-05-15 10:00:00,116.08586,71.53752,210.46365
2016-05-15 11:00:00,99.74765,62.144512,189.74832
2016-05-15 12:00:00,82.078224,52.866848,167.6373
2016-05-15 13:00:00,76.676926,50.819958,158.2603
2016-05-15 14:00:00,71.99785,49.85585,149.21407
2016-05-15 15:00:00,71.35457,51.586617,149.2505
2016-05-15 16:00:00,88.774956,55.553528,180.50507
2016-05-15 17:00:00,141.9856,85.7968,245.311
2016-05-15 18:00:00,127.72655,81.939476,224.35672
2016-05-15 19:00:00,109.123474,79.36341,171.17307
2016-05-15 20:00:00,93.902756,70.64241,145.58427
2016-05-15 21:00:00,74.89555,60.601917,113.24075
2016-05-15 22:00:00,63.293568,53.997715,88.64687
2016-05-15 23:00:00,58.469883,52.14557,74.606415
2016-05-16 00:00:00,56.614223,50.770226,67.59567
2016-05-16 01:00:00,54.777023,49.8019,63.361095
2016-05-16 02:00:00,53.636703,49.392124,63.299347
2016-05-16 03:00:00,52.68518,47.98672,64.67154
2016-05-16 04:00:00,53.09257,47.8486,70.18022
2016-05-16 05:00:00,54.325928,48.033024,76.70337
2016-05-16 06:00:00,55.80683,46.826385,85.1194
2016-05-16 07:00:00,55.771023,45.018497,91.245895
2016-05-16 08:00:00,55.54125,43.959713,93.32478
2016-05-16 09:00:00,57.58542,45.78534,94.66802
2016-05-16 10:00:00,60.164146,47.0333,97.474785
2016-05-16 11:00:00,60.884453,47.093445,99.4214
2016-05-16 12:00:00,61.9473,47.073345,102.414116
2016-05-16 13:00:00,64.18414,48.06601,104.33101
2016-05-16 14:00:00,62.47696,48.119873,102.40672
2016-05-16 15:00:00,61.28566,46.66237,107.34005
2016-05-16 16:00:00,89.478096,55.050026,155.42836
2016-05-16 17:00:00,146.60397,86.94747,228.20218
2016-05-16 18:00:00,132.09906,82.065994,209.83926
2016-05-16 19:00:00,127.21634,90.35797,213.32361
2016-05-16 20:00:00,107.48238,79.0035,180.18953
2016-05-16 21:00:00,80.64705,64.91029,135.08258
2016-05-16 22:00:00,66.12287,56.34402,103.02979
2016-05-16 23:00:00,59.526047,53.345417,85.25233
2016-05-17 00:00:00,57.047535,51.101112,76.340126
2016-05-17 01:00:00,54.11414,49.071697,69.432205
2016-05-17 02:00:00,52.74239,48.13785,68.97365
2016-05-17 03:00:00,52.455482,47.354122,72.58431
2016-05-17 04:00:00,53.404907,48.11369,79.08461
2016-05-17 05:00:00,55.312637,49.880016,89.41684
2016-05-17 06:00:00,60.622482,51.663048,108.03682
2016-05-17 07:00:00,58.954174,46.863445,118.716736
2016-05-17 08:00:00,55.536514,39.84984,123.20178
2016-05-17 09:00:00,55.520626,43.05063,119.842896
2016-05-17 10:00:00,55.82845,45.881573,118.92151
2016-05-17 11:00:00,56.28914,44.702953,119.62257
2016-05-17 12:00:00,62.74988,47.688793,129.06946
2016-05-17 13:00:00,66.94543,49.317112,132.28206
2016-05-17 14:00:00,62.778515,48.064224,125.28561
2016-05-17 15:00:00,62.107273,48.905956,126.03412
2016-05-17 16:00:00,82.60948,53.927006,164.30157
2016-05-17 17:00:00,146.1298,89.51693,245.79501
2016-05-17 18:00:00,139.70305,87.25517,239.71669
2016-05-17 19:00:00,108.79049,75.04102,174.2898
2016-05-17 20:00:00,90.57964,64.311584,144.98294
2016-05-17 21:00:00,66.854866,51.229195,107.51207
2016-05-17 22:00:00,55.911102,45.304787,82.41662
2016-05-17 23:00:00,52.41713,46.78028,68.12917
2016-05-18 00:00:00,52.82395,47.595276,63.23506
2016-05-18 01:00:00,51.496994,46.766636,59.873726
2016-05-18 02:00:00,50.488388,45.836014,59.880615
2016-05-18 03:00:00,50.08978,45.38482,63.83433
2016-05-18 04:00:00,50.65979,45.880043,72.0019
2016-05-18 05:00:00,53.585518,46.979656,87.69845
2016-05-18 06:00:00,59.557858,44.459045,114.88124
2016-05-18 07:00:00,72.824646,47.287136,145.80112
2016-05-18 08:00:00,75.76181,43.57971,157.34499
2016-05-18 09:00:00,74.64896,46.060192,154.55148
2016-05-18 10:00:00,69.39738,45.755753,143.85031
2016-05-18 11:00:00,64.74675,44.058434,130.4291
2016-05-18 12:00:00,66.82247,45.33323,128.2302
2016-05-18 13:00:00,70.6239,47.059616,127.28749
2016-05-18 14:00:00,71.66996,48.835117,124.60381
2016-05-18 15:00:00,73.11598,51.026333,126.808655
2016-05-18 16:00:00,86.0816,52.33417,154.6791
2016-05-18 17:00:00,154.29443,91.70852,239.69864
2016-05-18 18:00:00,158.95982,93.71669,245.8352
2016-05-18 19:00:00,135.15697,90.83625,225.46039
2016-05-18 20:00:00,104.57845,71.65625,177.72841
2016-05-18 21:00:00,71.843475,53.78142,125.195206
2016-05-18 22:00:00,58.099808,47.34826,92.23591
2016-05-18 23:00:00,54.396614,48.239227,76.72302
2016-05-19 00:00:00,53.898212,48.488235,69.652756
2016-05-19 01:00:00,52.929867,47.910427,66.85224
2016-05-19 02:00:00,50.72209,46.30571,65.0056
2016-05-19 03:00:00,49.376766,44.041893,67.04525
2016-05-19 04:00:00,49.66779,44.400417,72.51112
2016-05-19 05:00:00,51.18419,45.761177,82.075195
2016-05-19 06:00:00,58.096672,49.533085,104.85058
2016-05-19 07:00:00,63.94465,48.157948,129.27803
2016-05-19 08:00:00,68.19893,44.06683,149.13162
2016-05-19 09:00:00,65.842514,44.45882,151.8111
2016-05-19 10:00:00,60.285133,44.07863,149.98782
2016-05-19 11:00:00,58.712193,41.231365,150.90765
2016-05-19 12:00:00,65.40588,45.6455,159.41058
2016-05-19 13:00:00,69.526146,47.20395,161.69058
2016-05-19 14:00:00,67.120346,44.43266,156.94142
2016-05-19 15:00:00,71.90311,44.450302,166.68979
2016-05-19 16:00:00,108.115486,57.310963,222.98032
2016-05-19 17:00:00,182.97379,100.02748,313.99234
