date,feature_model
2016-05-13 19:00:00,112.78004329004332
2016-05-13 20:00:00,109.62517361111117
2016-05-13 21:00:00,71.20315972222215
2016-05-13 22:00:00,55.63368716931217
2016-05-13 23:00:00,52.69997023809522
2016-05-14 00:00:00,53.202058531746005
2016-05-14 01:00:00,53.170649801587295
2016-05-14 02:00:00,53.55711474867723
2016-05-14 03:00:00,52.454771825396826
2016-05-14 04:00:00,50.9776951058201
2016-05-14 05:00:00,53.81319444444439
2016-05-14 06:00:00,66.15000661375656
2016-05-14 07:00:00,99.80862929894184
2016-05-14 08:00:00,152.92673280423267
2016-05-14 09:00:00,170.04332671957656
2016-05-14 10:00:00,182.98949900793653
2016-05-14 11:00:00,201.1495552248677
2016-05-14 12:00:00,196.55065355940357
2016-05-14 13:00:00,151.8443849206348
2016-05-14 14:00:00,134.46270171957664
2016-05-14 15:00:00,123.861875
2016-05-14 16:00:00,111.8397123015873
2016-05-14 17:00:00,166.23729873136125
2016-05-14 18:00:00,207.33793981481472
2016-05-14 19:00:00,152.57968750000006
2016-05-14 20:00:00,128.3344560185186
2016-05-14 21:00:00,90.75173641173642
2016-05-14 22:00:00,56.67461474867724
2016-05-14 23:00:00,54.024563492063464
2016-05-15 00:00:00,54.9662516534392
2016-05-15 01:00:00,52.38083002645506
2016-05-15 02:00:00,54.584823082010615
2016-05-15 03:00:00,54.40976851851854
2016-05-15 04:00:00,54.80038359788362
2016-05-15 05:00:00,56.712966269841274
2016-05-15 06:00:00,120.8825189393939
2016-05-15 07:00:00,93.72049437830702
2016-05-15 08:00:00,133.42064980158722
2016-05-15 09:00:00,118.45470403439157
2016-05-15 10:00:00,157.03513723544972
2016-05-15 11:00:00,101.40384093915353
2016-05-15 12:00:00,97.69385311447806
2016-05-15 13:00:00,96.8302976190476
2016-05-15 14:00:00,94.57372519841275
2016-05-15 15:00:00,97.90840277777781
2016-05-15 16:00:00,111.45383928571424
2016-05-15 17:00:00,177.07796296296294
2016-05-15 18:00:00,245.42222056878302
2016-05-15 19:00:00,132.40589451058221
2016-05-15 20:00:00,117.16285879629633
2016-05-15 21:00:00,81.92323412698417
2016-05-15 22:00:00,61.14855654761904
2016-05-15 23:00:00,57.101175595238075
2016-05-16 00:00:00,53.51367890211645
2016-05-16 01:00:00,56.56175099206347
2016-05-16 02:00:00,55.57649801587304
2016-05-16 03:00:00,54.52342757936509
2016-05-16 04:00:00,53.47927744708994
2016-05-16 05:00:00,63.989414682539724
2016-05-16 06:00:00,67.13875330687829
2016-05-16 07:00:00,95.83327711640212
2016-05-16 08:00:00,84.16917658730159
2016-05-16 09:00:00,79.43127314814814
2016-05-16 10:00:00,78.3364628427128
2016-05-16 11:00:00,124.94466269841257
2016-05-16 12:00:00,111.18316798941801
2016-05-16 13:00:00,127.446875
2016-05-16 14:00:00,105.08959490740745
2016-05-16 15:00:00,86.24364417989416
2016-05-16 16:00:00,120.06386408730157
2016-05-16 17:00:00,224.2548511904762
2016-05-16 18:00:00,203.37130621693143
2016-05-16 19:00:00,152.37251984126982
2016-05-16 20:00:00,128.43683366402115
2016-05-16 21:00:00,99.37664351851852
2016-05-16 22:00:00,78.22787202380955
2016-05-16 23:00:00,63.54710813492062
2016-05-17 00:00:00,51.91320376382873
2016-05-17 01:00:00,56.86068722943726
2016-05-17 02:00:00,54.86345734126985
2016-05-17 03:00:00,56.01267691798941
2016-05-17 04:00:00,53.49902281746027
2016-05-17 05:00:00,71.13061026936025
2016-05-17 06:00:00,71.45219922438672
