date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax,feature_model,foundation_model
2016-05-13 19:00:00,208.33333333333331,97.46163394267658,348.3333333333333,123.33333333333331,126.66666666666669,348.432667343944,201.3036821313542,112.78004329004331,174.80447
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666669,348.53200135455467,179.32995861123584,109.62517361111117,120.13728
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,121.41911134788134,71.20315972222215,87.08914
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,95.50151582853168,55.63368716931217,71.17756
2016-05-13 23:00:00,61.66666666666666,97.46163394267658,348.3333333333333,56.66666666666666,58.333333333333336,348.8300033863867,79.33976846792672,52.69997023809522,60.146904
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.66666666666666,348.92933739699737,70.37527572670895,53.202058531746005,55.363693
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.66666666666666,349.02867140760804,65.69730212490876,53.170649801587295,56.072155
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,61.60233872007536,53.55711474867723,52.626152
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,58.13987754306896,52.454771825396826,50.89327
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,56.54070174880799,50.97769510582011,52.17518
2016-05-14 05:00:00,56.66666666666666,97.46163394267658,348.3333333333333,58.333333333333336,51.66666666666666,349.4260074500508,64.5895560618952,53.81319444444439,51.864357
2016-05-14 06:00:00,63.333333333333336,97.46163394267658,348.3333333333333,146.66666666666666,53.333333333333336,349.5253414606615,73.75598498042862,66.15000661375657,57.200882
2016-05-14 07:00:00,113.33333333333331,97.46163394267658,348.3333333333333,176.66666666666666,148.33333333333334,349.62467547127216,101.71109628086103,99.80862929894184,78.51798
2016-05-14 08:00:00,133.33333333333334,97.46163394267658,348.3333333333333,338.3333333333333,121.66666666666669,349.72400948188283,117.46548769674169,152.92673280423267,123.65141
2016-05-14 09:00:00,118.33333333333331,97.46163394267658,348.3333333333333,93.33333333333331,153.33333333333334,349.8233434924935,106.81046460413303,170.04332671957658,164.2943
2016-05-14 10:00:00,158.33333333333334,97.46163394267658,348.3333333333333,73.33333333333333,178.33333333333334,349.9226775031042,113.9157951796932,182.98949900793653,194.72086
2016-05-14 11:00:00,96.66666666666669,97.46163394267658,348.3333333333333,355.0,161.66666666666666,350.02201151371486,118.54614292856797,201.14955522486764,200.48743
2016-05-14 12:00:00,116.66666666666669,97.46163394267658,348.3333333333333,301.6666666666667,86.66666666666667,350.12134552432553,111.9046089514195,196.55065355940363,177.9332
2016-05-14 13:00:00,113.33333333333331,97.46163394267658,348.3333333333333,268.3333333333333,75.0,350.2206795349362,105.39488128140624,151.8443849206348,156.6449
2016-05-14 14:00:00,106.66666666666669,97.46163394267658,348.3333333333333,318.3333333333333,88.33333333333333,350.3200135455469,102.2415196791352,134.46270171957664,139.1827
2016-05-14 15:00:00,130.0,97.46163394267658,348.3333333333333,201.66666666666663,103.33333333333331,350.41934755615756,96.41953048545099,123.86187499999998,126.32175
2016-05-14 16:00:00,111.66666666666669,97.46163394267658,348.3333333333333,351.6666666666667,91.66666666666669,350.51868156676824,126.51552976510129,111.8397123015873,153.30733
