date,sarimax,lower,upper
2016-05-13 19:00:00,201.3036821313542,80.96507746767357,321.64228679503486
2016-05-13 20:00:00,179.32995861123584,51.23999796264201,307.41991925982967
2016-05-13 21:00:00,121.41911134788134,-14.002717040879872,256.84093973664255
2016-05-13 22:00:00,95.50151582853168,-42.806711404777374,233.80974306184072
2016-05-13 23:00:00,79.33976846792672,-60.539440571953435,219.21897750780687
2016-05-14 00:00:00,70.37527572670895,-70.27454778458495,211.02509923800284
2016-05-14 01:00:00,65.69730212490876,-75.34766621661322,206.74227046643074
2016-05-14 02:00:00,61.60233872007536,-79.6427256855309,202.8474031256816
2016-05-14 03:00:00,58.13987754306896,-83.20715354498373,199.48690863112165
2016-05-14 04:00:00,56.54070174880799,-84.85821874824869,197.93962224586465
2016-05-14 05:00:00,64.5895560618952,-76.83579550023822,206.0149076240286
2016-05-14 06:00:00,73.75598498042862,-67.68282832389448,215.19479828475173
2016-05-14 07:00:00,101.71109628086103,-39.7345743866168,243.15676694833886
2016-05-14 08:00:00,117.46548769674169,-23.983676095858726,258.9146514893421
2016-05-14 09:00:00,106.81046460413303,-34.64047863141222,248.26140783967827
2016-05-14 10:00:00,113.9157951796932,-27.53605453142346,255.36764489080986
2016-05-14 11:00:00,118.54614292856797,-22.90616855799601,259.99845441513196
2016-05-14 12:00:00,111.9046089514195,-29.547937772537153,253.35715567537616
2016-05-14 13:00:00,105.39488128140624,-36.05778527722026,246.84754784003275
2016-05-14 14:00:00,102.2415196791352,-39.21120792571614,243.69424728398653
2016-05-14 15:00:00,96.41953048545099,-45.03322821750592,237.8722891884079
2016-05-14 16:00:00,126.51552976510129,-14.937244779868564,267.9683043100712
2016-05-14 17:00:00,183.12636934529104,41.67358673752025,324.5791519530618
2016-05-14 18:00:00,176.8127482024562,35.35996148451622,318.26553492039614
